segment	position	coverage	sample
HA	1	111	01_BALF
HA	2	111	01_BALF
HA	3	111	01_BALF
HA	4	113	01_BALF
HA	5	117	01_BALF
HA	6	117	01_BALF
HA	7	118	01_BALF
HA	8	119	01_BALF
HA	9	119	01_BALF
HA	10	121	01_BALF
HA	11	121	01_BALF
HA	12	122	01_BALF
HA	13	140	01_BALF
HA	14	140	01_BALF
HA	15	143	01_BALF
HA	16	143	01_BALF
HA	17	143	01_BALF
HA	18	146	01_BALF
HA	19	162	01_BALF
HA	20	163	01_BALF
HA	21	167	01_BALF
HA	22	167	01_BALF
HA	23	167	01_BALF
HA	24	172	01_BALF
HA	25	172	01_BALF
HA	26	173	01_BALF
HA	27	178	01_BALF
HA	28	178	01_BALF
HA	29	180	01_BALF
HA	30	180	01_BALF
HA	31	180	01_BALF
HA	32	185	01_BALF
HA	33	185	01_BALF
HA	34	190	01_BALF
HA	35	190	01_BALF
HA	36	192	01_BALF
HA	37	194	01_BALF
HA	38	193	01_BALF
HA	39	193	01_BALF
HA	40	193	01_BALF
HA	41	195	01_BALF
HA	42	198	01_BALF
HA	43	198	01_BALF
HA	44	200	01_BALF
HA	45	200	01_BALF
HA	46	207	01_BALF
HA	47	211	01_BALF
HA	48	215	01_BALF
HA	49	215	01_BALF
HA	50	215	01_BALF
HA	51	216	01_BALF
HA	52	222	01_BALF
HA	53	226	01_BALF
HA	54	232	01_BALF
HA	55	232	01_BALF
HA	56	252	01_BALF
HA	57	257	01_BALF
HA	58	265	01_BALF
HA	59	268	01_BALF
HA	60	277	01_BALF
HA	61	278	01_BALF
HA	62	287	01_BALF
HA	63	285	01_BALF
HA	64	288	01_BALF
HA	65	284	01_BALF
HA	66	285	01_BALF
HA	67	286	01_BALF
HA	68	288	01_BALF
HA	69	290	01_BALF
HA	70	291	01_BALF
HA	71	292	01_BALF
HA	72	295	01_BALF
HA	73	300	01_BALF
HA	74	301	01_BALF
HA	75	299	01_BALF
HA	76	299	01_BALF
HA	77	298	01_BALF
HA	78	298	01_BALF
HA	79	299	01_BALF
HA	80	299	01_BALF
HA	81	308	01_BALF
HA	82	307	01_BALF
HA	83	309	01_BALF
HA	84	307	01_BALF
HA	85	307	01_BALF
HA	86	310	01_BALF
HA	87	311	01_BALF
HA	88	311	01_BALF
HA	89	312	01_BALF
HA	90	316	01_BALF
HA	91	316	01_BALF
HA	92	314	01_BALF
HA	93	314	01_BALF
HA	94	314	01_BALF
HA	95	336	01_BALF
HA	96	333	01_BALF
HA	97	338	01_BALF
HA	98	339	01_BALF
HA	99	339	01_BALF
HA	100	340	01_BALF
HA	101	346	01_BALF
HA	102	347	01_BALF
HA	103	347	01_BALF
HA	104	347	01_BALF
HA	105	334	01_BALF
HA	106	338	01_BALF
HA	107	339	01_BALF
HA	108	338	01_BALF
HA	109	332	01_BALF
HA	110	330	01_BALF
HA	111	331	01_BALF
HA	112	331	01_BALF
HA	113	331	01_BALF
HA	114	331	01_BALF
HA	115	329	01_BALF
HA	116	329	01_BALF
HA	117	334	01_BALF
HA	118	334	01_BALF
HA	119	338	01_BALF
HA	120	327	01_BALF
HA	121	323	01_BALF
HA	122	319	01_BALF
HA	123	320	01_BALF
HA	124	320	01_BALF
HA	125	324	01_BALF
HA	126	319	01_BALF
HA	127	331	01_BALF
HA	128	326	01_BALF
HA	129	328	01_BALF
HA	130	328	01_BALF
HA	131	328	01_BALF
HA	132	330	01_BALF
HA	133	331	01_BALF
HA	134	325	01_BALF
HA	135	320	01_BALF
HA	136	314	01_BALF
HA	137	337	01_BALF
HA	138	335	01_BALF
HA	139	337	01_BALF
HA	140	337	01_BALF
HA	141	337	01_BALF
HA	142	337	01_BALF
HA	143	337	01_BALF
HA	144	336	01_BALF
HA	145	333	01_BALF
HA	146	319	01_BALF
HA	147	328	01_BALF
HA	148	339	01_BALF
HA	149	337	01_BALF
HA	150	336	01_BALF
HA	151	336	01_BALF
HA	152	331	01_BALF
HA	153	331	01_BALF
HA	154	331	01_BALF
HA	155	327	01_BALF
HA	156	327	01_BALF
HA	157	325	01_BALF
HA	158	329	01_BALF
HA	159	334	01_BALF
HA	160	336	01_BALF
HA	161	335	01_BALF
HA	162	336	01_BALF
HA	163	334	01_BALF
HA	164	333	01_BALF
HA	165	333	01_BALF
HA	166	332	01_BALF
HA	167	332	01_BALF
HA	168	333	01_BALF
HA	169	335	01_BALF
HA	170	328	01_BALF
HA	171	336	01_BALF
HA	172	340	01_BALF
HA	173	342	01_BALF
HA	174	349	01_BALF
HA	175	349	01_BALF
HA	176	349	01_BALF
HA	177	358	01_BALF
HA	178	349	01_BALF
HA	179	353	01_BALF
HA	180	350	01_BALF
HA	181	354	01_BALF
HA	182	346	01_BALF
HA	183	351	01_BALF
HA	184	351	01_BALF
HA	185	348	01_BALF
HA	186	348	01_BALF
HA	187	351	01_BALF
HA	188	346	01_BALF
HA	189	347	01_BALF
HA	190	347	01_BALF
HA	191	347	01_BALF
HA	192	344	01_BALF
HA	193	349	01_BALF
HA	194	355	01_BALF
HA	195	356	01_BALF
HA	196	357	01_BALF
HA	197	347	01_BALF
HA	198	349	01_BALF
HA	199	352	01_BALF
HA	200	352	01_BALF
HA	201	350	01_BALF
HA	202	354	01_BALF
HA	203	349	01_BALF
HA	204	352	01_BALF
HA	205	352	01_BALF
HA	206	351	01_BALF
HA	207	334	01_BALF
HA	208	336	01_BALF
HA	209	331	01_BALF
HA	210	331	01_BALF
HA	211	322	01_BALF
HA	212	322	01_BALF
HA	213	338	01_BALF
HA	214	343	01_BALF
HA	215	342	01_BALF
HA	216	347	01_BALF
HA	217	345	01_BALF
HA	218	347	01_BALF
HA	219	345	01_BALF
HA	220	345	01_BALF
HA	221	349	01_BALF
HA	222	336	01_BALF
HA	223	338	01_BALF
HA	224	339	01_BALF
HA	225	338	01_BALF
HA	226	340	01_BALF
HA	227	348	01_BALF
HA	228	348	01_BALF
HA	229	348	01_BALF
HA	230	341	01_BALF
HA	231	342	01_BALF
HA	232	344	01_BALF
HA	233	344	01_BALF
HA	234	343	01_BALF
HA	235	339	01_BALF
HA	236	340	01_BALF
HA	237	340	01_BALF
HA	238	339	01_BALF
HA	239	345	01_BALF
HA	240	349	01_BALF
HA	241	343	01_BALF
